station_id,user_id,user_state,station_name,station_play_date,listening_hours,daily_session_starts
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/4/21 0:00,8.888888889,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/5/21 0:00,39.69333333,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/6/21 0:00,14.16666667,8
20407,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNN,4/6/21 0:00,0.044444444,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/7/21 0:00,14.22222222,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/8/21 0:00,7.993333333,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/9/21 0:00,11.93555556,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/10/21 0:00,0.802222222,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/11/21 0:00,11.50222222,16
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/12/21 0:00,11.97111111,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/13/21 0:00,17.35555556,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/14/21 0:00,38.42,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/15/21 0:00,13.97777778,16
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/16/21 0:00,24.97111111,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/17/21 0:00,5.626666667,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/18/21 0:00,28.42444444,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/19/21 0:00,8.882222222,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/20/21 0:00,36.84444444,32
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/21/21 0:00,15.64888889,16
20407,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNN,4/22/21 0:00,0.035555556,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/22/21 0:00,10.27555556,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/23/21 0:00,14.28888889,32
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/24/21 0:00,41.04222222,24
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/25/21 0:00,17.55777778,8
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/1/21 0:00,0.648888889,1
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/3/21 0:00,0.319444444,1
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/5/21 0:00,0.466111111,2
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/6/21 0:00,0.615555556,1
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/9/21 0:00,0.022777778,1
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/10/21 0:00,0.573888889,2
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/11/21 0:00,2.357222222,2
308204,0019614D-9679-4F47-A9D8-7B4F54DB0487-777,MS,Ole Miss Baseball,4/13/21 0:00,0.619166667,2
